movie_id,title,original_language,release_date,runtime
the+forgotten+faces+1961,The Forgotten Faces,en,1961-01-01,18
pyaar+impossible+2010,Pyaar Impossible,en,2010-01-08,140
late+autumn+2010,Late Autumn,ko,2010-09-10,113
target+1995,Target,en,1995-08-01,122
out+of+the+furnace+2013,Out of the Furnace,en,2013-12-06,116
real+steel+2011,Real Steel,en,2011-09-28,127
the+city+of+the+dead+1960,The City of the Dead,en,1960-09-09,76
after+sex+2007,After Sex,en,2007-09-26,78
the+girl+he+left+behind+1956,The Girl He Left Behind,en,1956-10-26,103
the+agronomist+2003,The Agronomist,en,2003-09-21,90
point+and+shoot+2014,Point and Shoot,en,2014-04-19,82
ip+man+2+2010,Ip Man 2,cn,2010-04-21,109
underclassman+2005,Underclassman,en,2005-09-02,95
dmt+the+spirit+molecule+2010,DMT: The Spirit Molecule,en,2010-10-15,75
the+secret+agent+1996,The Secret Agent,en,1996-11-08,95
alice+in+murderland+2010,Alice in Murderland,en,2010-02-05,90
the+petrified+forest+1936,The Petrified Forest,en,1936-02-08,82
midnight+cowboy+1969,Midnight Cowboy,en,1969-05-25,113
something+for+everyone+1970,Something For Everyone,en,1970-07-22,112
spider+2007,Spider,it,2007-06-17,10
brain+drain+2009,Brain Drain,es,2009-01-01,105
mifune+1999,Mifune,da,1999-03-12,98
accident+1967,Accident,en,1967-02-05,105
the+grandmaster+2013,The Grandmaster,zh,2013-01-08,130
the+art+of+war+2000,The Art of War,en,2000-08-23,117
fugitives+2000,Fugitives,en,2000-10-06,0
pulp+1972,Pulp,en,1972-11-01,95
vacancy+2007,Vacancy,en,2007-04-20,80
breakfast+with+scot+2007,Breakfast with Scot,en,2007-11-16,95
ambush+trail+1946,Ambush Trail,fr,1946-02-17,60
the+russia+house+1990,The Russia House,en,1990-12-19,122
mikes+murder+1984,Mike's Murder,en,1984-03-09,109
vampire+hunter+d+bloodlust+2000,Vampire Hunter D: Bloodlust,ja,2000-08-25,103
blackmailed+1951,Blackmailed,en,1951-01-30,85
sphinx+1981,Sphinx,en,1981-02-11,118
frontier+of+the+dawn+2008,Frontier of the Dawn,en,2008-05-22,106
the+last+four+days+1974,The Last Four Days,it,1974-03-27,0
dead+tired+1994,Dead Tired,fr,1994-05-18,0
harmontown+2014,Harmontown,en,2014-03-08,95
likainen+pommi+2011,Likainen pommi,fi,2011-09-23,83
false+trail+2011,False Trail,sv,2011-09-15,129
djomeh+2000,Djomeh,fa,2000-01-01,94
weekender+2011,Weekender,de,2011-09-01,90
the+world_+the+flesh+and+the+devil+1959,"The World, the Flesh and the Devil",en,1959-05-20,95
living+proof+2008,Living Proof,en,2008-10-18,125
the+chatterley+affair+2006,The Chatterley Affair,en,2006-03-20,90
dont+tell+mom+the+babysitters+dead+1991,Don't Tell Mom the Babysitter's Dead,en,1991-06-07,105
dont+be+afraid+of+the+dark+2010,Don't Be Afraid of the Dark,en,2010-11-06,99
ten+minutes+older+1978,Ten Minutes Older,lv,1978-05-11,10
sam+peckinpah+man+of+iron+1993,Sam Peckinpah: Man of Iron,en,1993-06-29,90
the+barber+of+siberia+1998,The Barber of Siberia,ru,1998-10-13,180
s21+the+khmer+rouge+death+machine+2003,S21: The Khmer Rouge Death Machine,fr,2003-05-17,101
sky+murder+1940,Sky Murder,en,1940-09-27,72
i+like+killing+flies+2004,I Like Killing Flies,en,2004-01-01,80
i+love+you+too+2010,I Love You Too,en,2010-05-06,107
man-proof+1938,Man-Proof,en,1938-01-07,75
big+trouble+in+little+china+1986,Big Trouble in Little China,en,1986-05-30,99
miss+pettigrew+lives+for+a+day+2008,Miss Pettigrew Lives for a Day,en,2008-03-07,92
beethovens+2nd+1993,Beethoven's 2nd,en,1993-12-14,89
children+of+the+corn+666+isaacs+return+1999,Children of the Corn 666: Isaac's Return,en,1999-10-19,82
bright+days+ahead+2013,Bright Days Ahead,fr,2013-06-19,94
the+son-daughter+1932,The Son-Daughter,en,1932-12-23,79
the+mother+2003,The Mother,en,2003-01-01,112
the+ballad+of+johnny+guitar+1996,The Ballad of Johnny Guitar,pt,1996-05-01,3
the+legend+of+suriyothai+2001,The Legend of Suriyothai,th,2001-08-17,185
putzel+2012,Putzel,en,2012-10-10,88
murder+party+2007,Murder Party,en,2007-01-01,79
the+hunting+of+the+president+2004,The Hunting of the President,en,2004-06-20,90
collapse+2009,Collapse,en,2009-09-12,82
dzhamilya+1969,Dzhamilya,ru,1969-10-13,83
lake+tahoe+2008,Lake Tahoe,es,2008-02-09,89
big+stan+2007,Big Stan,en,2007-06-06,105
the+best+of+times+2002,The Best Of Times,zh,2002-09-20,109
all+that...+for+this+1993,All That... for This?!,fr,1993-01-01,116
moscow+on+the+hudson+1984,Moscow on the Hudson,en,1984-06-04,115
all+this_+and+heaven+too+1940,"All This, and Heaven Too",en,1940-07-13,141
starz+inside+fantastic+flesh+2008,Starz Inside: Fantastic Flesh,en,2008-10-07,60
the+pagemaster+1994,The Pagemaster,en,1994-11-23,80
the+last+of+the+mohicans+1920,The Last of the Mohicans,en,1920-11-21,73
rampage+2009,Rampage,en,2009-08-14,85
8+seconds+1994,8 Seconds,en,1994-02-25,105
